ID,Nombre Localidad,Total de Viviendas,Str 0 (%),Str 1 (%),Str 2 (%),Str 3 (%),Str 4 (%),Str 5 (%),Str 6 (%),Longitud,Latitud,Zona
1,Antonio Nariño,27774,1.79,0.0,4.49,93.72,0.0,0.0,0.0,-74.1,4.59,ASE 5
2,Barrios Unidos,57196,0.16,0.0,0.0,54.6,41.89,3.35,0.0,-74.08,4.68,ASE 3
3,Bosa,133097,4.51,4.83,87.18,3.48,0.0,0.0,0.0,-74.19,4.62,ASE 6
4,Chapinero,55919,0.21,3.38,9.41,6.3,33.18,10.45,37.07,-74.06,4.65,ASE 3
5,Ciudad Bolívar,152266,1.21,60.02,34.56,4.22,0.0,0.0,0.0,-74.16,4.58,ASE 4
6,Engativá,232205,1.04,0.74,23.58,70.63,4.0,0.0,0.0,-74.11,4.70,ASE 2
7,Fontibón,116233,1.94,0.0,18.76,44.66,33.75,0.88,0.0,-74.14,4.68,ASE 2
8,Kennedy,269028,0.75,0.58,49.37,46.8,2.5,0.0,0.0,-74.15,4.64,ASE 6
9,La Candelaria,7857,0.71,0.45,53.3,45.54,0.0,0.0,0.0,-74.07,4.59,ASE 3
10,Los Mártires,27497,0.18,0.0,8.79,83.29,7.74,0.0,0.0,-74.09,4.60,ASE 3
11,Puente Aranda,70682,1.05,0.0,0.32,98.62,0.0,0.0,0.0,-74.11,4.61,ASE 4
12,Rafael Uribe,104433,1.12,8.53,47.72,42.63,0.0,0.0,0.0,-74.07,4.66,ASE 5
13,San Cristóbal,112721,0.39,7.74,77.4,14.47,0.0,0.0,0.01,-74.08,4.56,ASE 5
14,Santa Fe,36163,1.51,7.49,55.47,25.13,9.39,0.49,0.51,-74.07,4.61,ASE 3
15,Suba,288568,1.61,0.21,30.56,33.59,18.78,13.71,1.54,-74.08,4.75,ASE 1
16,Sumapaz,1743,0.0,54.91,28.06,9.7,3.61,1.61,2.12,-74.1,4.61,ASE 4
17,Teusaquillo,57972,0.16,0.0,0.0,14.12,80.71,5.02,0.0,-74.08,4.64,ASE 3
18,Tunjuelito,49168,0.49,0.0,56.48,43.04,0.0,0.0,0.0,-74.13,4.58,ASE 4
19,Usaquen,,,,,,,,,-74.03,4.70,ASE 1
20,Usme,,,,,,,,,-74.12,4.47,ASE 5
