ID Localidad,AÑO,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Población Por localidad
19,2012,12933,13870,13573,12767,14537,13240,13851,14254,12057,14797,14487,7086,479830
19,2013,,,,,,,,,,,,,484764
19,2014,14181,12820,14703,13431,14186,13367,13926,13395,14061,14466,,,489526
19,2015,12927,13002,13283,12681,13398,11064,13855,13339,12906,12809,13681,12995,494066
19,2016,12048,12890,12905,13574,13836,13370,12684,13609,12449,13515,14278,14869,472908
15,2012,23436,22314,22278,22672,25121,20973,23842,22804,22533,23511,23327,13234,1094488
15,2013,,,,,,,,,,,,,1120342
15,2014,24660,23426,26236,24144,25494,22710,25617,24156,24708,24676,,,1146985
15,2015,24755,23528,25564,23958,23856,26040,24476,24232,24300,23803,23336,24350,1174736
15,2016,21861,21836,24098,24177,25213,23900,23466,24396,24151,24294,26111,26969,1250734
7,2012,10014,10615,10430,9920,10725,9316,9591,10272,10071,11471,10862,7889,353859
7,2013,,,,,,,,,,,,,362167
7,2014,11893,10821,18640,17678,19632,17978,19715,18857,19060,19036,,,370976
7,2015,11455,10883,11779,11039,10743,10562,10825,10588,10357,10422,10703,10878,380453
7,2016,9383,9473,9817,10066,9800,9985,9625,10570,9965,10258,10651,11088,403519
6,2012,18455,18053,18828,17951,19589,18035,18916,18992,18101,19910,19067,14251,851299
6,2013,,,,,,,,,,,,,858935
6,2014,18361,16807,12544,11449,12329,10800,11639,10362,10877,11818,,,866719
6,2015,18202,17323,18568,18212,18900,18888,19337,19278,19000,18847,18073,19450,874755
6,2016,17118,17609,18758,18542,20118,19081,18938,19125,18702,18717,20160,21038,873243
4,2012,5578,5728,6149,5226,6196,5920,5538,6025,5866,6060,5979,3333,135160
4,2013,,,,,,,,,,,,,136352
4,2014,6937,6379,7563,7050,7840,6745,7204,7021,7318,7767,,,137281
4,2015,7375,7391,7653,7366,7769,7152,7411,7362,7664,7914,7704,7287,137870
4,2016,6716,7585,7575,7907,7703,7294,6932,6928,6656,6985,7622,7765,126951
14,2012,4744,4715,4773,4581,4887,4720,4710,4942,4558,4979,4706,2813,109955
14,2013,,,,,,,,,,,,,109945
14,2014,4082,4303,4432,3910,3761,3399,3633,3665,3707,3269,,,109974
14,2015,2881,2958,4017,3908,3926,3738,3887,3668,3854,4032,3553,3931,110053
14,2016,3065,3344,3662,3765,3981,3685,3378,3565,3487,3623,3502,3868,96534
2,2012,5419,5734,5573,5009,5694,5322,5155,5698,5346,5480,5433,2882,234948
2,2013,,,,,,,,,,,,,236433
