Zona,AÑO,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Población Por localidad
ASE 1,2012,36369,36184,35851,35439,39658,34214,37693,37058,34590,38308,37814,20321,1574318
ASE 1,2013,36858,35741,37391,38107,40381,37450,39755,38896,38542,39737,39609,43353,1605106
ASE 1,2014,38841,36245,40939,37575,39681,36077,39544,37550,38769,39142,0,0,1636511
ASE 1,2015,37682,36529,38848,36638,37254,37105,38331,37570,37207,36612,37017,37345,1668802
ASE 1,2016,33909,34727,37003,37751,39049,37270,36150,38006,36600,37808,40389,41838,1723642
ASE 2,2012,28469,28669,29259,27872,30314,27351,28507,29265,28172,31381,29929,22140,1205158
ASE 2,2013,27659,26472,27357,27596,26012,30391,31105,30717,29263,31576,30939,33043,1221102
ASE 2,2014,30254,27628,31184,29127,31961,28778,31354,29220,29937,30854,0,0,1237695
ASE 2,2015,29657,28206,30347,29251,29643,29450,30162,29867,29358,29269,28775,30328,1255208
ASE 2,2016,26501,27082,28575,28609,29919,29066,28562,29695,28667,28975,30811,32126,1276762
ASE 3,2012,24754,25069,26187,23340,26293,24860,24163,25873,24740,25916,25528,14291,750365
ASE 3,2013,26671,27030,31909,35801,31474,31194,27665,29339,28250,30367,30809,31558,754506
ASE 3,2014,28211,28174,31305,29018,31274,27024,29303,28976,29354,30094,0,0,758648
ASE 3,2015,27813,28105,29897,28189,28693,26934,28484,27972,28286,28253,27742,28193,762829
ASE 3,2016,24517,25876,27215,27868,28525,26499,26007,27251,26743,27113,28024,29551,744898
ASE 4,2012,30835,29142,30360,29188,31480,29330,30020,30456,28549,31658,30823,17137,1117687
ASE 4,2013,26702,25755,26803,27726,28103,26039,28265,28060,26600,28382,29137,30623,1129069
ASE 4,2014,27639,25747,28480,27614,28622,25978,27846,27221,27256,27400,0,0,1140743
ASE 4,2015,19378,18083,19211,18333,18786,19142,20318,19452,19098,27036,26165,26088,1152845
ASE 4,2016,24661,25359,26593,26354,26916,26115,25292,26828,25668,26067,27902,29391,1141772
ASE 5,2012,26186,24112,25785,24816,26173,24335,25298,25884,23374,25731,25084,14140,1295672
ASE 5,2013,27763,25829,25071,27916,28438,22233,29600,27166,25498,27818,28320,30303,1309749
ASE 5,2014,27273,24825,26931,25598,26827,25148,27629,26090,26312,26926,0,0,1319332
ASE 5,2015,18678,25028,27553,25724,25847,26449,28796,27223,26717,26489,21533,29145,1322797
ASE 5,2016,24683,24788,26889,25995,27154,26276,26447,28222,27016,27451,28802,29899,1196573
ASE 6,2012,42415,39795,42458,39945,43476,40912,41572,41540,39203,43812,42852,24166,1628145
ASE 6,2013,40588,39327,40847,42713,43819,40593,44489,43339,41111,44145,44218,46265,1654834
ASE 6,2014,41734,38746,43401,41049,43182,39556,42252,40315,40926,41102,0,0,1683916
ASE 6,2015,42761,39465,42351,39592,40873,41827,43663,42562,40755,39797,41165,43413,1716302
ASE 6,2016,36999,37681,40498,39836,41199,39327,40000,41598,40064,40720,42824,47049,1896354
